末代皇帝 The Last Emperor
贝纳尔多·贝托鲁奇
尊龙,陈冲,邬君梅,彼得·奥图尔,英若诚,吴涛,黄自强,丹尼斯·邓恩,坂本龙一,马吉·汉,里克·扬,田川洋行,苟杰德,理查德·吴,皱缇格,陈凯歌,卢燕,区亨利,陈述,鲍皓昕,黄文捷,邵茹贞,亨利·基,张良斌,梁冬,康斯坦丁·格雷戈里,黄汉琪,王涛,宋怀桂,蔡鸿翔,程淑艳,张天民
片长:
"
"
UserName,Watched Already,Comments,Dates,Review_Score,Upvote
光年‖影视歌三栖民工,看过,溥仪登基之初的十六抬大辇，和片末游行时红卫兵扛在肩上的毛泽东像，讽刺意味浓重。感觉导演还想告诉我更多的东西。但我更多是对这位末代皇帝的同情，还有艳慕。。。好喜欢大被同床的双飞镜头。,2009-03-18 15:52:04,allstar50 rating,9014
单线程青年,看过,不偏袒的好片儿！一个进自己原来的宫殿还要买票的皇帝。,2008-03-24 09:06:17,allstar50 rating,7664
托尼·王大拿,看过,"尽管看一群中国人在屏幕上讲英语很是奇怪，但不能否认这是部出色的电影：它与国家无关，与王朝无关，这只是一个渴望自由却不得的人的编年史；""门""的意象被反复提及，寓意溥仪被禁闭的一生；贝托鲁奇娴熟的运镜，要人命的广角自然光，美妙的配乐。",2011-03-21 16:43:30,allstar50 rating,5157
老醜頹·肥🐰,看过,摈弃宏观叙事的模式，从个人命运在时代潮流中的无可奈何和随波逐流的视角来展现末代皇帝的一生。溥仪真是生不逢时，遇到的是中国史上最糟糕的时候，每次抉择都是身不由己。去过伪满皇宫和紫禁城会对电影布景更有感触。,2013-08-08 09:58:10,allstar50 rating,1
沧海横笛,看过,前半部分简直灾难，殖民主义白人救世主优越感加西方臆想的符号化“中国”元素呈现加几乎都用流水账记事本一般的功能性情节与人物推进主线，角色们非中国人处事思维尤其是婉容和文绣以及两女一男的关系，陈冲简直像老迪士尼动画片里的白雪公主，不管是演员还是情节充满了西式矫揉造作，连带对溥仪贯穿全片的洗白同情视角与怜爱情绪也不能摆脱这种矫情的成分，导演的一腔爱是一种不食人间烟火的矫情之爱，思维也是纯西式的，这绝不能算作一部华语电影。如果抛却真实历史，单单作为一部“故事电影”本身，可圈可点之处也颇有一些，比如服化道的精致还原，比如音乐（但是非常讨厌主题曲，洋溢着一股从外部视角带着臆想窥探、调侃、并妄图在这种善意美化的掩盖下中代言清朝帝王家内部的猥亵情绪），比如溥仪的两次追逐（也只能说是剧作套路中比较优秀的一种）,2019-01-17 07:57:29,allstar20 rating,3
月野狗,看过,在紫禁城骑自行车的皇帝。时代空间交错的荒谬感。好得吓人。就告诉我为什么没上9？,2017-03-24 14:59:31,allstar50 rating,3
donger,看过,天呢 1987年的电影 如此美的光影与运镜 现在的电影人应该感到羞愧,2018-12-11 04:01:33,allstar50 rating,2
张苑希,看过,一代王朝的覆灭，一位末代帝王波澜壮阔的一生。历史的进程总有好部分也有坏的，很多的事根本没有办法去计较是对还是错，而溥仪也不过历史滚滚洪流中的一个可怜人罢了，逃不脱的宿命走不出的轮回，故地重游紫禁城，却只南柯一梦。,2016-10-10 21:52:51,allstar50 rating,0
Oo龙芽oo,看过,拍得很客观，人生不在别人的眼光，而在个人的体验，末代皇帝所有体验都是极致。,2013-01-19 19:11:59,allstar40 rating,0
кай,看过," 贝纳多 贝托鲁奇 Bernardo Bertolucci
摄影",2009-03-25 06:53:53,allstar50 rating,0
frontboy,看过,意大利人竟然可以把中国的历史演绎的如此真实，历史选择了溥仪，让他经历了五味杂陈的人生百态，始终无法掌控自己，高处不胜寒的人生，就是英语版本听的稍显别扭。,2017-11-12 10:38:22,allstar30 rating,1
F,看过,精致。文革的那段舞蹈让人印象深刻。陈冲年轻的时候真是美，但是礼服穿起来感觉骨架子不够正。中国也有演戏入神的演员，但是在国内导演的镜头下味道就少了很多。,2012-01-04 13:09:58,allstar50 rating,0
饭夫斯基,看过,不偏袒的好片儿。且不说大环境的限制使然，溥仪本身的性格也太球弱了，没心眼儿，贪玩儿，风流成性,2012-05-14 06:44:02,allstar40 rating,1
ballcool lee,看过,记述有些过于繁琐，没甚必要。但是老外能把那几十年兲巢拍得那么亲切，我兲巢的导演们呢？,2010-09-21 18:43:34,allstar40 rating,0
小药水,看过,用英语念圣旨的违和感还是有些...特别最后红小将前面还是“fuck off”，转过身就“造反有理”了...拍的有点意思，宏大的话题选取了一个有趣的角度。我党在建国前后思想工作真的不得了，换其他封建皇帝估计就一枪崩了省事，我们硬是把旧社会的皇帝改造成了新中国的公民，之前看本朝对日本战犯改造的纪录片就已经很佩服了，现在的水平真的越来越差。,2018-09-25 00:58:27,allstar40 rating,1
风筝,看过,被深深的吸引了，却不太能说出来是什么缘故，如果真要说的话，就是人的漂泊沉浮，历史造化弄人吧。最后溥仪的微笑就像孩子一样纯净，他和那个喜爱蟋蟀的孩子，构成一种奇妙而温馨一幕。,2016-07-04 09:05:42,allstar50 rating,1
Crouse,看过,每个中国人都知道这个人，只是没人知道他是怎么想得，一个从万人之上的皇帝，变成一文不值得小民，谁能忍受这种折磨呢。,2011-09-30 23:38:08,allstar50 rating,0
desperado,看过,在西班牙摄影师Gorka Postigo的镜头里听到了好听的音乐，查了下，叫Rain，再查了下，看了此片。言语无法形容这部电影的伟大以及允许这部电影产生的30多年前我国政府的伟大。,2017-10-14 00:08:27,allstar40 rating,3
乍暖,看过,8/10。厚重感，电影史居然能有这样一部电影真的是万幸。少年溥仪的气质极佳。“门”这个意象用的真好。,2018-11-26 23:10:53,allstar40 rating,3
Marty McFly,看过,贝托鲁奇没有洋洋洒洒地去讲溥仪的故事与中国的历史，而选择一个独特的视角看待末代皇帝的人生。溥仪只是大时代里一个无法左右自己命运的小人物，注定在历史洪流中成为悲剧人物。,2011-09-05 19:32:15,allstar50 rating,1
伊夏,看过,有的蟋蟀可以活在历史里，活着见证人们的嘴脸翻来覆去。,2019-01-27 20:41:37,allstar50 rating,4
观者,看过,"看了这片子我才知道人真的是有命运的！溥仪的命运就是这样！他能做的改变实在是太少了！
最后那点溥仪还需要买门票才能进入紫禁城的情景让我感慨万千啊！！哎~~",2011-03-17 11:00:28,allstar50 rating,0
巧克力脆皮雪糕,看过,本片节奏恰当，情绪饱满，塑造了一个保守封建与新潮时髦并存的、温和懦弱而本性善良的溥仪（不知道真正的溥仪是不是这样），比起那些被全家抄斩的外国末代皇帝，溥仪还算是幸运的，但是做傀儡皇帝和之后的十年阶下囚生活，也是痛苦的。总体本片还是一部不错的传记电影，不过也谈不上很惊喜。,2017-12-06 09:22:21,allstar40 rating,0
小慢,看过,意大利人为什么要拍这么细致、客观、高水准的中国电影啊！！！难道是因为马可波罗吗！！,2015-08-24 09:12:57,allstar50 rating,5
狄飞惊,看过,好是好，但到底不是我最喜欢的那种，老外的视角还是有夹生猎奇处，我也坚信中国人来拍会处理得更好，比如两年后就有了《悲情城市》。感觉《霸王别姬》倒是受了很深的影响，程蝶衣最早也是想找尊龙来演。,2017-03-28 01:53:04,allstar50 rating,2
Février,看过,人的心真是越老越脆弱，时隔多年重看《末代皇帝》，到最后那一幕，溥仪神话般地化身一只蝈蝈从那个小笼子里爬出来，我的泪水就夺眶而出，许久不可抑制，坂本龙一的配乐火上浇油,2007-04-11 22:03:59,allstar40 rating,2
乐孚伦,看过,一个全然不同的视角来看待溥仪的一生，一种更加容易让人理解的故事，难怪那年奥斯卡颁奖赢得大满盘,2012-08-20 13:40:02,allstar50 rating,0
Mademoiselle B,看过,嵌套式的双时空结构，将溥仪的不同时代的生活连接在一起，却做得比《玫瑰人生》好上万倍。色彩、光影、音乐的运用更是大气。,2013-05-02 20:37:51,allstar40 rating,0
Redemption古枫,看过,当老眼昏花步履蹒跚的溥仪来到他小时候端坐过的龙床之前，仿佛一切过往都显得那样的遥远而没有意义。。此时的溥仪究竟会在思考些什么？,2011-05-27 12:13:28,allstar40 rating,0
Charles Rosen,看过,皇权在意识形态上的摧毁远比一个皇朝、某个个人消逝来得毁灭性强,2012-03-08 22:49:39,allstar50 rating,3
。不,看过,皇帝跟妃子们讲着口音纯正的英文的时候，我石化了。还说要play a game。我的世界观被颠覆了,2011-11-01 22:44:59,allstar50 rating,0
escape,看过,文科生必看啊~！好几个镜头到现在都历历在目,2012-05-23 11:16:47,allstar50 rating,0
kkkekedou,看过,二十四年了，终于看完了这部片子。时间真是把利器，所谓沧海桑田也不过是时光荏苒。无论你是位高权重还是富可敌国，命运总是难以由自己掌握。导演重现了华丽的王家梦境生活，一个可怜的被人摆布的小孩，成了天下的主人，又发现天下那么小，继而发现所谓的天下已与他无关，老了回家还要买票，荒唐辛酸,2011-01-15 19:44:29,allstar50 rating,1
罚款时间y,看过,这是一部给不出差评的电影，因为本片从方方面面都达到了很高的水准，使得影片的艺术性极佳，加上又是一段讲中国的历史，很难不对本片有所感触，尤其是最后溥仪临终前重游故宫这个场景，拍的极为动人。本片作为一部历史人物传记电影，也拍的非常有厚重感，剧本的切入点做的很不错，没有讲本片拍成流水账。但是影片最让我也是国内影迷不太满意的地方就是全片都是英文对白，真的很别扭，好多场景由于演员英文水平的影响本来可以拍的很动人却有点干巴巴的，而且影片中的华人演员的英文口音真的让人有点出戏，当然习惯以后就还好。尊龙的表演是非常让人印象深刻的，尤其是后半段,2020-07-12 01:50:08,allstar50 rating,2
无咎,看过,这部电影是在大一上学期看的，我那时候狂看片，觉得这部电影不错，尊龙很帅，并且觉得，片中的中国女人真难看——外国人审美很有问题,2008-05-10 15:58:55,allstar40 rating,0
HurryShit,看过,色彩的遞嬗，從過於夢幻、紅黃為主的暖色調（紫禁城，既是囚困的監牢，也是保護的子宮），到逐漸靠近自然的色彩。跟《同流者》一樣採取倒敘，但這次末段轉真硬，方向是色彩的真實化，溥儀從皇帝變凡人，但這過程裡，溥儀的「成長」是什麼？Bertolucci似乎說不清或流於天真，也加深用色的匠氣。個人作為意識形態神話的一個濃縮化身。,2013-03-13 18:41:22,allstar30 rating,1
爱幻想的小孩,看过,演得太棒了！全程看字幕并忽略语音的话其实情绪很到位。主题音乐每次在分离的时候响起真是泪目。不仅布景服装真实，关键是演员撑得起场子。这动荡的一生看下来，让人感慨万千。,2016-12-22 03:58:49,allstar50 rating,2
nebape,看过,记录五个影片中让我觉得魔幻现实的片段：1. 故宫中骑着自行车的溥仪 2. 婉容和文绣跳舞时的小提琴伴奏 3. 送走Johnston时演奏的友谊地久天长 4. 印着溥仪大头照的时代杂志5. 年老的溥仪花了一角钱进入年幼时的故所 溥仪也许就是人们常说的 死亡时间和被埋葬时间不一致的那类人 而我没有办法判断的是他是在何时死亡的 是听闻母亲丧命的那一刻 还是看着自己心爱的女人疯魔的那一刻 直到他生命将尽时他对于我来说才是一个鲜活的人 他不再沉默 为了曾经的狱长振臂呼冤 亦不再苟活 即便离了他昔日的仆人走上儿时的宝座时衣物仍是混浊 唏嘘不已 一个从小便被剥夺了爱与被爱的权利的人 不论干什么 都有一种残缺的美感,2020-04-28 21:13:55,allstar50 rating,1
什么,看过,起起落落的一生，看到文化大革命那一段，我落泪了！看完以后心里堵得慌，好想哭啊,2010-03-02 22:36:26,allstar50 rating,0
我真的不是,看过,老鼠几次尝试从衣袋中钻出，几次都被抓回，正如溥仪对少年对外界的渴望一样。当老鼠被狠狠砸死在大门上时，少年溥仪的心也死了。多次溥仪追赶车辆，结果都是相同的，他在追自己逝去的东西，却不可能追到。原以为溥仪是个平庸无为的蠢物，现在看来，溥仪被历史大潮所裹挟，几千年人们对于皇帝制度，对于封建统治的怨愤都在他所处年代爆发，而他自登基起便无缘亲政。虽有复辟之心，却无条件支持。三起三落也无非垂死挣扎。末代皇帝其实不傻，也并不恶。他目睹着高举红宝书的红卫兵和载歌载舞的歌舞团，以及被肩抗在上的领导人像，心中大概早就明白什么。我真心同情溥仪，这并非出于恶意。,2018-08-09 15:43:05,allstar50 rating,4
良吉吉,看过,好厉害的电影，虽然片中一个个旗人说英文，还带有强烈的弗洛伊德色彩，但还是感到细致入微。,2014-03-14 12:11:36,allstar50 rating,0
永失完治的莉香,看过,仅仅是溥仪的一生吗？不止。那是好几个时代的缩影，记得电影中给了一个自行车过马路的镜头，红灯行。所有人的命运都被时代裹挟着，无论是大清的皇帝，还是入宫为后的娇俏女子，还是日本女间谍，还是为犯人着想的监狱长。人太渺小了，“open the door”这句台词的语气越来越轻，其中夹杂着的无力感随之变重。被命运捉弄的一生完结，何尝不是一种解脱。,2019-09-13 01:25:30,allstar50 rating,3
吞火海峡,看过,《不能承受的生命之轻》290页：被打入地狱和享有特权，幸福和苦难，任何人都不会像…体会得如此真切，截然相反的事物竟然能互相转换，人类生存的两个极端状态之间的距离竟如此狭小……最高雅的戏剧和最粗俗的遭遇竟如此令人头晕目眩的接近吗？……令人晕头转向，经不住堕落的诱惑而倒下。【8】,2011-11-01 14:20:40,allstar40 rating,0
二丿丨,看过,这片只有外国人才拍得出来，不讨论技术，只碍于心理。我不觉得它恶化丑化了谁，我看到的只是一个人在时代的逆流里自禁、挣扎的无奈。伟大的电影从来不会以刻意夸大、渲染事实来博得观众的认可，或者揪住观众的衣领说不哭的你TM还是人!不是的。它只在平白中告诉你故事是怎样的，其它的留给你慢慢去想。,2011-08-20 17:56:29,allstar50 rating,0
有病的乃提乃,看过,求219分钟版本！！尊龙长得真标致，陈冲一股肉欲感 = = ,2011-03-10 19:18:26,allstar40 rating,0
Anamnesis,看过,一个意大利人用英文拍的中国历史片竟然看起来毫无违和感。尊龙陈冲真美呀。She is my butterfly,2019-03-16 22:07:05,allstar50 rating,1
蛀牙,看过,中国没有历史，中国只有轮回。一个进自己原来的宫殿还要买票的皇帝。溥仪只是那个大时代里一个无法左右自己命运的小人物，注定在历史洪流中成为悲剧人物。贝托鲁奇并没有洋洋洒洒的去讲溥仪的故事与中国的历史，而是选择了一个独特的视角来看待末代皇帝的人生。君犹如此 民何以堪 恍然惊起 百年如梦。,2013-12-01 18:39:33,allstar50 rating,0
宁畅|Lost,看过,铺展开来的历史恢弘浩大，却镶着夕阳的金边。溥仪是中国历史上的最后一个皇帝，也许也是内心最孤独、人生最为跌宕起伏的皇帝。,2008-07-15 16:49:20,allstar50 rating,0
席德,看过,坂本龙一的音乐perfect,2006-04-26 03:52:54,allstar40 rating,3
补丁儿猫,看过,紫禁城对于末代皇帝溥仪来说就是一个金碧辉煌的笼子，母亲死了不能去告别，乳娘也不能去告别，他只能跟自己养的老鼠告别，新中国解放文革之后真正的自由，做一个园丁，虽然日子过得普通，但是内心从容，才是自由,2017-05-21 21:53:21,allstar50 rating,3
是本典啦,看过,"第一个感觉是地道，是中国的味道。配乐太绝了！！！
作为传记和历史片，导演的立场带着暧昧的客观。他好像是在讲述溥仪这个人的生平，不带任何感情色彩，但是溥仪这个人确实活生生出现在荧幕上。
他骄傲，认为自己是天命之子；他愚钝，不知道要顺势而为；他虽成长于龙椅，却受到的是西方精英教育，没有人告诉他“水能载舟亦能覆舟”，没人教会他“为天地立心，为生民立命，为往圣继绝学，为万世开太平”的君主之志。他是个悲哀的假皇帝，穿着华贵的龙袍，却一直是登基大典上懵懵懂懂的小孩子。他不知道皇位如何来，也不知道如何结束。他只以为那是天生该得的。
这个固执，骄傲的皇帝，最后懂了，可确实全是他一人过错吗？人们总爱将历史的转折看作是一人的力挽狂澜或是推波助澜，其实每个人不过都是历史洪流中的一粒沙，被裹挟着向前罢了。",2020-10-04 22:47:33,allstar40 rating,1
静下来,看过,3位溥仪都很有特色，青少年时期两位尤其赞。帝王风度。即便是末代。60th<1987>,2013-03-30 13:52:38,allstar50 rating,0
沉默的若亚,看过,拍的很真实，末代皇帝的一生和他的所见所闻所想。身居高位的人内心都是孤独的,2012-02-26 04:22:34,allstar50 rating,0
荀一墨,看过,不铿不悲的电影。宣读了在那个时代走过的人的路，或者是莎翁似的悲剧，或者是尤金奥尼尔似的悲剧，总之乌云遮盖了这片国土，让人认不出自己的心。,2011-08-12 21:26:17,allstar50 rating,0
杨大志°,看过,演员很棒，很有气质，剧情也不错。结局有些感动,2017-05-29 18:49:22,allstar40 rating,5
Setting,看过,"最后，看他重回故园，登上宝座，却又消失无踪。
我有点心疼那老头。",2010-02-03 10:39:38,allstar40 rating,0
烏滌非,看过,雖然是很典型的西方視角講中國，但對個體悲劇的講述還是成功的打動人的。情節對白都沒什麼花巧，那種無力的悲哀卻自始至終都能像一條暗河緩慢湧動。個人被時代洪流裹挾在末代君主這個身份上被無限放大，任他理性地任性地掙脫，眼前都只是一道道緊閉的大門。老實說以前只看圖片我還不太能理解為什麼大家直呼尊龍好帥；這回看到會動的，了然了。P.S. 這戲卡司太強大嗷以及還以為坂本龍一是打醬油去演戲沒想到配樂居然才是臨時工（x,2020-09-27 22:47:45,allstar40 rating,0
未来,看过,爱新觉罗家的少爷们一个个都很悲剧，尤其是最后的这位溥仪，一直觉得他很可怜，再怎样，紫禁城和北京也是他的家，就这样让人端了还不许闹脾气。后面红卫兵的镜头很讽刺。应该是清朝最悲哀的一位爱新觉罗了。,2010-08-19 00:40:52,allstar50 rating,0
J,看过,末代皇帝的悲哀无人得知，紫禁城于他是家是国是悔恨是耻辱却也是无法忘却的归宿,2011-01-22 11:53:58,allstar40 rating,0
白桃乌龙,看过,罐中的蟋蟀和布袋中的白鼠就是你一生的缩影，你爱的人永远都会离你而去，你永远都追不上带她们走的轿子和车，你永远都打不开囚禁你的门，你身边的人也永远都是骗子。,2014-05-11 15:47:22,allstar50 rating,0
苗儿,看过,"I like it because it offers a perspective of the west, and they seem to be compassionately, earnestly trying to understand it all, not too condescending, well, maybe a bit",2010-11-10 20:25:38,allstar40 rating,0
鹿基维,看过,视角独特而且没有政治立场，这是贝托鲁奇赢得舞台的关键吧？事实摆在那里，命运也是。forbidden city这名字越琢磨越有味儿。只是梳辫子的人们，偶尔的中文和长期的英文让我产生疑惑，而唯一没有疑惑的是，这里日文都未跻身成为字幕。演婉容那时候的陈冲25年前啊..还有红卫小生的那句fuck off..囧,2012-02-01 00:57:23,allstar50 rating,0
晶晶儿Sirius,看过,#晶晶儿就爱看电影#好电影就是这样，虽然长，但会让你舍不得按暂停，看完还要花几个钟头查相关资料（看那群主角的百科看了3个钟头= =）从故宫的红瓦砖墙映现眼前开始，就感觉整个人都真实的进入了那个时代，那个禁城。尼玛一个外国导演居然能拍出这么细腻的中国片。给赞,2013-06-07 21:52:30,allstar50 rating,0
菠菜开花,看过,"看了以后觉得 溥仪本身来说 也许只能说是一个牺牲品 一个王朝的末端 一个从小被禁锢 在遇到庄士敦以前并未得到良好的具有时代性的教育的人 他也许心有力 但他并不是一个有能力力挽狂澜的人。 
　　感觉这部电影的叙事手法和拍摄技巧之类的技术问题处理的很好很有水平！但就溥仪来说 对他无感！",2010-11-29 01:01:21,allstar30 rating,0
第七大陸,看过,他被培养成为人民的所谓“信仰”，真正成为“信仰”之后，人民表示不再需要这信仰，怪谁？而溥仪花两角钱进故宫之后，他踩在太和殿的地面上，他在想什麼？我都不知道答案，我只知道时至如今，太和殿也不再能自由进出参观了。//219min,2018-06-29 22:33:15,allstar50 rating,2
狷介有乌青,看过,花了很长时间才看完，219分钟的导演剪辑版，久久的惆怅，落幕了竟有泪,2008-09-13 12:16:47,allstar50 rating,1
一只野鸡,看过,1988年第60届奥斯卡最佳影片，最佳导演，最佳改编剧本，最佳摄影等9项,2007-09-04 23:26:31,allstar40 rating,0
攸宁陶陶,看过,这么近又那么远。。P.S.真是爱死坂本龙一的配乐了,2010-12-13 11:34:38,allstar50 rating,0
给我个电话亭，我要拯救地球！,看过,比传奇更传奇的一生。完美的摄影，宇宙级的配乐！！！坂本龙一就是一个不可救药的天才！！！！！如果可以在大银幕看到这个电影我死也瞑目了！！！|要买CC加长版|（对不起我破戒了！！！,2011-03-05 10:59:11,allstar50 rating,1
不睡也不会秃,看过,在生命的最后一年，他着中山装，买了门票，跨过禁止入内的围栏，终于踏进太和殿，踏进自己的家，审视曾经属于自己的皇位。物是人非，我脑海里还会浮现三岁的小皇帝，在台阶上头，像看戏一样看着底下万人下跪叩首。赞叹演员的气场，包括从小到大的皇帝，影片真实的画面。英文的台词反而不会觉得突兀。,2010-01-21 01:29:56,allstar50 rating,0
孤云出岫,看过,"意大利的导演在中国拍出了奥斯卡最佳电影。
今天，他去世了。",2018-11-26 17:10:43,allstar50 rating,4
Rice,看过,"         整部电影给人一种经典的感觉，以傅仪在战俘营自供的方式道出个人的经历，其实是清末民初的社会巨大变化的缩影，傅仪可谓不幸，强行被拉上末代皇帝的宝座，又身不由己的随时代潮流起伏…。  
        真实感，给人的震撼很大！",2016-01-12 23:53:26,allstar50 rating,1
xiphosura,看过,末代皇帝溥仪的传记，更多的从溥仪自身、内心世界的角度去阐述，更像是自传，片子很长也很闷，尤其是下载的字母是删减版的，时间轴对不上最后没办法看的英文的，能看完实属不易，中间有趣的一点是所有演员都是自己的声音而不是老外的配音因此角色们说英文反而一点也不奇怪。PS文革那部分好写实啊绿红灯,2013-10-24 21:41:11,allstar30 rating,0
颜颜,看过,千年蟋蟀 末日黄昏 辛酸的是溥仪手放在婉容肩膀上告诉日本人 我们有孩子了却被日本人揭穿,2010-07-13 23:27:29,allstar40 rating,0
恰妮斯虫,看过,每个人都是历史的人质，太过渺小了。这电影真是太厉害。,2017-12-24 16:17:15,allstar50 rating,5
死於林中,看过,160分钟还是太短啦。1987年拍出来的片，看起来却像是前两年拍的，贝托鲁奇真不是盖的,2008-03-09 00:31:28,allstar50 rating,0
和尚,看过,viva la vida:One minute I held the key  Next the walls were closed on me                    ,2010-02-14 14:08:53,allstar50 rating,3
[已注销],看过,一个外国导演让我看到了20多年来从不知道的关于清末时期的事情,2011-03-27 18:21:23,allstar50 rating,0
啦啦,看过,历史上一贯将溥仪定义为一个小丑，但是作为一个个体，从极尽奢华到极尽屈辱，他同样也有自己的想法与坚持。虽然最后仍然搏不过历史的趋势，但我想我们更多的应该是同情而不是责骂。,2012-06-19 22:11:10,allstar50 rating,0
苏柒念,看过,小时候看只记得蝈蝈爬到红领巾上的镜头，后来看纳闷蝈蝈为什么能一直活着，昨天看意识到蝈蝈其实没那么孤单。,2010-09-07 15:33:39,allstar50 rating,0
🦉,看过,看的CC版本，默认的国语，中途几次莫名的变英语了，看来删了不少好戏。豆瓣第一篇影评真的很有用，最后十分钟超棒,2012-08-05 02:40:40,allstar50 rating,0
了不起的花轮君,看过,贵族之所以成为贵族，是因为他们有着高贵的灵魂。农民阶层始终是愚昧的，落后的。做皇帝始终要有做皇帝的样子，溥仪才是爱祖国爱人民。尊龙演的溥仪脆弱忧伤，惨帅惨帅的。,2014-12-18 07:52:20,allstar50 rating,0
世界末日女朋友,看过,除了英文原音外，这是最真实的紫禁城画面。奶妈走了和皇后难产死掉，溥仪追出去的时候，就是人生的节点。溥仪年迈，文革刚开始，看见大家举着毛主席头像的时候，他买票重回紫禁城参观的时候，当年的皇室记忆一定宛如梦境。见证最动荡的年代的溥仪一生，真不知该说是不幸还是幸运。,2018-09-21 23:38:29,allstar50 rating,2
韵外之致,看过,这么好的电影 像意大利歌剧 对不起 我来晚了！,2016-03-27 00:23:54,allstar50 rating,2
转角阳光,看过,小时候看过，只记得溥仪戴个眼镜、割腕泡热水里和在皇宫骑自行车几个片段，还有那首主旋律，太好听了。现在看，觉得陈冲和邬君梅太惊艳了，完全没看出陈凯歌跑了哪个角色的龙套，还有英若诚。再说导演，一位意大利人对历史的了解，反给中国演员说文革那段的情绪，全片只用自然光线拍摄，乃大师也。,2013-02-11 01:20:23,allstar50 rating,0
Odair,看过,多么悲哀。你是天子，一个王朝最大的统治者，可你的命运却从未掌握在自己手里，这一生从不知自由二字的意义。这不是你的错，你从来都只是那个未长大的孩子，国家兴亡，这负担太沉重，你扛不起。皇宫是你的家，当你进自己的家都需要买票，你的心里，可曾划过一丝凄凉与怨恨？,2013-05-24 15:35:12,allstar50 rating,1
D K U N,看过,12岁时看的，电视版，3个半小时，看得我瞠目结舌。当时颇是喜欢那些布景和拍摄技巧，现在想来，这片子对我的人生观其实影响相当的大。,2011-04-21 06:29:22,allstar50 rating,2
xiaohanyu,看过,“王朝到了结局，总会有人不自主地被推上第一线，以粉身碎骨的方式维持它最后的尊严。 ”,2012-05-28 10:49:08,allstar40 rating,5
寄生虫小布布,看过,"居然有坂本龙一  一直想看merry Christmas ,Mr lawrence 苦于没有源啊！",2012-06-10 05:20:10,allstar50 rating,0
安静的夜空,看过,一个蛐蛐，走过了一个末代皇帝的一生，虽然开始的时候总是因为皇帝说英文而出戏，但是不可否认这是一部出色的电影，一部144分钟的电影，描述了溥仪的一生，一个任命运摆布的皇帝，一个任命运摆弄的一生，最好的一幕，还是最好那个蛐蛐，历史的鲜活，展现眼前,2013-11-22 22:00:13,allstar50 rating,0
碗碗碗,看过,那个老师的角色有点强行宣扬欧美普世价值观的感觉。尊龙怎么那么帅？陈冲也美。那个曾经历史书上看似无能倒霉又懦弱不爱国的皇帝，原来竟那么可怜。,2017-11-18 09:59:57,allstar50 rating,2
女阿飞,看过,满洲国里向婉容追去的皇帝，脑海闪回的还是紫禁城门里奔向阿麽轿子的悲凉少年，命运流转，人生嗟叹。终于知道陈冲为什么受某些文青追捧了，真是美的跟画片一样。那暮气沉沉的光线不就代表了腐朽糜烂的晚清，这片有丑化中国？说是史诗，一点都不为过。,2012-03-22 13:21:45,allstar50 rating,1
Die Katze,看过,不需要重看。,2012-09-25 00:39:21,allstar50 rating,2
tiny不美也不傻,看过,如此震撼我心的晚清电影却出自法国的导演，内容深刻细腻，画面浪漫唯美，音乐是我最喜化的，片头就已经被深深吸引。,2012-10-24 12:02:10,allstar50 rating,0
hysoka,看过,"中国的历史电影 made by Bernardo Bertolucci 成为了1987年奥斯卡的最佳影片
",2011-01-31 23:15:34,allstar50 rating,0
summer,看过,刚开始看的时候，听到中国人用英语来说中国的这档子事儿觉得别扭。但是看到后面就觉得无奈了，要不是老外是中国人拍最后那点的文革的话，片子又要被禁喽,2010-12-06,comment-time ,0
。光本,看过,"第三次看《末代皇帝》。读完溥仪自传《我的前半生》，再对照电影，发觉贝托鲁奇对溥仪是怀有悲悯的，银幕塑造的溥仪一生都在告别，一次次地被留下，他一次次地追出门去，奔跑着，却被亲人、爱人、时代狠狠地甩在后面。书中自述的溥仪是懵懂的，不懂夫妻情爱，更多的是帝王风范。读自传后半部时，溥仪始终在认罪，电影却提出了疑问，“你为什么把不是你的罪也揽在自己身上？”
剧情、表演、服道化、运镜、场面调度、OST无一不精妙，较为震撼的是在宫中的几场戏，老佛爷临终身旁的神佛Cosplay，大婚时的萨满和戏台，这是西方人眼中的中国啊。",2014-04-05 22:50:21,allstar50 rating,0
贤治,看过,童年想做个快乐的孩子，人们却强迫他坐在皇位；少年想做个真正的皇帝，却被告知自己只是一个符号；青年想创立一个国家，却成为民族的罪人；中年他以为自己是个罪犯，却被赋予平民的身份。命运给溥仪关上了三扇门，紫禁城的门，满洲政府的门，还有囚禁战犯的门，当他一一找到了打开这些门的钥匙，发现自己早已从权利的皇座上滚落，沾满尘土，泯然一介布衣。权利囚禁了他的一切，只留下一只活蹦乱跳的蚱蜢，看着这个腐朽的国家机器如何玩弄它的主人。人注定都是历史的人质。溥仪的一生都是权利的囚徒，他眼前出现过很多门，但没有一扇是自己主动跨越过去的，被迫和无奈，成了他一生的主题。成为囚徒的何止一个溥仪，我每个人都或多或少地困在自己构筑的囚室中，既贪图室内的安逸，又向往室外的自由，溥仪面对的那些门，扪心自问我们又能否有勇气跨过去？,2020-05-11 21:41:45,allstar50 rating,1
Kid Don,看过,我缺少一种无处不在的厚重感,2012-05-24 09:41:48,allstar40 rating,0
